"";"digits";"algorithm";"n_neighbors";"metric";"sizes";"digit";"precision";"recall";"f1_score";"support"
"235";4;"brute";1;"euclidean";5;4;0,91;0,82;0,86;95
"241";0;"auto";5;"euclidean";5;0;0,88;0,94;0,91;97
"247";6;"auto";5;"euclidean";5;6;0,94;0,92;0,93;106
"251";0;"ball_tree";5;"euclidean";5;0;0,88;0,94;0,91;97
"257";6;"ball_tree";5;"euclidean";5;6;0,94;0,92;0,93;106
"261";0;"kd_tree";5;"euclidean";5;0;0,88;0,94;0,91;97
"267";6;"kd_tree";5;"euclidean";5;6;0,93;0,92;0,92;106
"277";6;"brute";5;"euclidean";5;6;0,93;0,89;0,91;106
"287";6;"auto";10;"euclidean";5;6;0,94;0,89;0,91;106
"297";6;"ball_tree";10;"euclidean";5;6;0,94;0,89;0,91;106
"301";0;"kd_tree";10;"euclidean";5;0;0,88;0,95;0,91;97
"307";6;"kd_tree";10;"euclidean";5;6;0,93;0,91;0,92;106
"311";0;"brute";10;"euclidean";5;0;0,88;0,95;0,92;97
"315";4;"brute";10;"euclidean";5;4;0,89;0,84;0,86;95
"317";6;"brute";10;"euclidean";5;6;0,94;0,92;0,93;106
"321";0;"auto";20;"euclidean";5;0;0,87;0,95;0,91;97
"325";4;"auto";20;"euclidean";5;4;0,9;0,83;0,86;95
"331";0;"ball_tree";20;"euclidean";5;0;0,87;0,95;0,91;97
"341";0;"kd_tree";20;"euclidean";5;0;0,87;0,95;0,91;97
"345";4;"kd_tree";20;"euclidean";5;4;0,9;0,83;0,86;95
"355";4;"brute";20;"euclidean";5;4;0,91;0,82;0,86;95
"435";4;"brute";1;"manhattan";5;4;0,91;0,82;0,86;95
"441";0;"auto";5;"manhattan";5;0;0,88;0,94;0,91;97
"447";6;"auto";5;"manhattan";5;6;0,94;0,92;0,93;106
"451";0;"ball_tree";5;"manhattan";5;0;0,88;0,94;0,91;97
"457";6;"ball_tree";5;"manhattan";5;6;0,93;0,92;0,92;106
"461";0;"kd_tree";5;"manhattan";5;0;0,88;0,94;0,91;97
"467";6;"kd_tree";5;"manhattan";5;6;0,94;0,92;0,93;106
"477";6;"brute";5;"manhattan";5;6;0,93;0,89;0,91;106
"487";6;"auto";10;"manhattan";5;6;0,94;0,89;0,91;106
"491";0;"ball_tree";10;"manhattan";5;0;0,88;0,95;0,91;97
"497";6;"ball_tree";10;"manhattan";5;6;0,93;0,91;0,92;106
"507";6;"kd_tree";10;"manhattan";5;6;0,94;0,89;0,91;106
"511";0;"brute";10;"manhattan";5;0;0,88;0,95;0,92;97
"515";4;"brute";10;"manhattan";5;4;0,89;0,84;0,86;95
"517";6;"brute";10;"manhattan";5;6;0,94;0,92;0,93;106
"521";0;"auto";20;"manhattan";5;0;0,87;0,95;0,91;97
"525";4;"auto";20;"manhattan";5;4;0,9;0,83;0,86;95
"531";0;"ball_tree";20;"manhattan";5;0;0,87;0,95;0,91;97
"541";0;"kd_tree";20;"manhattan";5;0;0,87;0,95;0,91;97
"545";4;"kd_tree";20;"manhattan";5;4;0,9;0,83;0,86;95
"555";4;"brute";20;"manhattan";5;4;0,91;0,82;0,86;95
"801";0;"auto";1;"euclidean";10;0;0,97;0,97;0,97;97
"802";1;"auto";1;"euclidean";10;1;0,78;0,99;0,87;95
"803";2;"auto";1;"euclidean";10;2;0,99;0,88;0,93;111
"805";4;"auto";1;"euclidean";10;4;0,95;0,84;0,89;95
"806";5;"auto";1;"euclidean";10;5;0,93;0,92;0,92;97
"807";6;"auto";1;"euclidean";10;6;0,97;0,92;0,95;106
"811";0;"ball_tree";1;"euclidean";10;0;0,97;0,97;0,97;97
"812";1;"ball_tree";1;"euclidean";10;1;0,78;0,98;0,87;95
"813";2;"ball_tree";1;"euclidean";10;2;0,99;0,88;0,93;111
"814";3;"ball_tree";1;"euclidean";10;3;0,87;0,94;0,91;103
"815";4;"ball_tree";1;"euclidean";10;4;0,95;0,85;0,9;95
"816";5;"ball_tree";1;"euclidean";10;5;0,93;0,92;0,92;97
"817";6;"ball_tree";1;"euclidean";10;6;0,97;0,92;0,95;106
"818";7;"ball_tree";1;"euclidean";10;7;0,82;0,91;0,86;97
"821";0;"kd_tree";1;"euclidean";10;0;0,97;0,97;0,97;97
"822";1;"kd_tree";1;"euclidean";10;1;0,78;0,99;0,87;95
"823";2;"kd_tree";1;"euclidean";10;2;0,99;0,88;0,93;111
"825";4;"kd_tree";1;"euclidean";10;4;0,95;0,84;0,89;95
"826";5;"kd_tree";1;"euclidean";10;5;0,93;0,92;0,92;97
"827";6;"kd_tree";1;"euclidean";10;6;0,97;0,92;0,95;106
"831";0;"brute";1;"euclidean";10;0;0,97;0,97;0,97;97
"832";1;"brute";1;"euclidean";10;1;0,78;0,98;0,87;95
"833";2;"brute";1;"euclidean";10;2;0,99;0,89;0,94;111
"835";4;"brute";1;"euclidean";10;4;0,95;0,84;0,89;95
"836";5;"brute";1;"euclidean";10;5;0,93;0,92;0,92;97
"837";6;"brute";1;"euclidean";10;6;0,98;0,92;0,95;106
"838";7;"brute";1;"euclidean";10;7;0,81;0,91;0,86;97
"841";0;"auto";5;"euclidean";10;0;0,99;0,98;0,98;97
"843";2;"auto";5;"euclidean";10;2;0,98;0,86;0,91;111
"844";3;"auto";5;"euclidean";10;3;0,9;0,94;0,92;103
"845";4;"auto";5;"euclidean";10;4;0,91;0,84;0,87;95
"846";5;"auto";5;"euclidean";10;5;0,94;0,9;0,92;97
"847";6;"auto";5;"euclidean";10;6;0,96;0,93;0,95;106
"851";0;"ball_tree";5;"euclidean";10;0;0,99;0,98;0,98;97
"853";2;"ball_tree";5;"euclidean";10;2;0,98;0,86;0,91;111
"854";3;"ball_tree";5;"euclidean";10;3;0,9;0,94;0,92;103
"855";4;"ball_tree";5;"euclidean";10;4;0,91;0,83;0,87;95
"856";5;"ball_tree";5;"euclidean";10;5;0,94;0,9;0,92;97
"857";6;"ball_tree";5;"euclidean";10;6;0,96;0,93;0,95;106
"861";0;"kd_tree";5;"euclidean";10;0;0,99;0,98;0,98;97
"863";2;"kd_tree";5;"euclidean";10;2;0,98;0,86;0,91;111
"864";3;"kd_tree";5;"euclidean";10;3;0,9;0,94;0,92;103
"865";4;"kd_tree";5;"euclidean";10;4;0,91;0,84;0,87;95
"866";5;"kd_tree";5;"euclidean";10;5;0,94;0,9;0,92;97
"867";6;"kd_tree";5;"euclidean";10;6;0,96;0,93;0,95;106
"871";0;"brute";5;"euclidean";10;0;0,97;0,98;0,97;97
"873";2;"brute";5;"euclidean";10;2;0,99;0,86;0,92;111
"874";3;"brute";5;"euclidean";10;3;0,89;0,95;0,92;103
"875";4;"brute";5;"euclidean";10;4;0,9;0,83;0,86;95
"876";5;"brute";5;"euclidean";10;5;0,95;0,9;0,92;97
"877";6;"brute";5;"euclidean";10;6;0,98;0,92;0,95;106
"881";0;"auto";10;"euclidean";10;0;0,97;0,98;0,97;97
"883";2;"auto";10;"euclidean";10;2;1;0,84;0,91;111
"885";4;"auto";10;"euclidean";10;4;0,89;0,83;0,86;95
"886";5;"auto";10;"euclidean";10;5;0,95;0,89;0,91;97
"887";6;"auto";10;"euclidean";10;6;0,98;0,92;0,95;106
"891";0;"ball_tree";10;"euclidean";10;0;0,97;0,98;0,97;97
"893";2;"ball_tree";10;"euclidean";10;2;1;0,83;0,91;111
"894";3;"ball_tree";10;"euclidean";10;3;0,87;0,94;0,91;103
"895";4;"ball_tree";10;"euclidean";10;4;0,9;0,83;0,86;95
"896";5;"ball_tree";10;"euclidean";10;5;0,95;0,89;0,91;97
"897";6;"ball_tree";10;"euclidean";10;6;0,98;0,92;0,95;106
"901";0;"kd_tree";10;"euclidean";10;0;0,97;0,98;0,97;97
"903";2;"kd_tree";10;"euclidean";10;2;1;0,84;0,91;111
"905";4;"kd_tree";10;"euclidean";10;4;0,89;0,83;0,86;95
"906";5;"kd_tree";10;"euclidean";10;5;0,95;0,89;0,91;97
"907";6;"kd_tree";10;"euclidean";10;6;0,98;0,92;0,95;106
"911";0;"brute";10;"euclidean";10;0;0,96;0,98;0,97;97
"913";2;"brute";10;"euclidean";10;2;1;0,84;0,91;111
"915";4;"brute";10;"euclidean";10;4;0,9;0,83;0,86;95
"916";5;"brute";10;"euclidean";10;5;0,93;0,89;0,91;97
"917";6;"brute";10;"euclidean";10;6;0,99;0,92;0,95;106
"921";0;"auto";20;"euclidean";10;0;0,96;0,98;0,97;97
"927";6;"auto";20;"euclidean";10;6;0,95;0,9;0,92;106
"931";0;"ball_tree";20;"euclidean";10;0;0,96;0,98;0,97;97
"937";6;"ball_tree";20;"euclidean";10;6;0,95;0,89;0,92;106
"941";0;"kd_tree";20;"euclidean";10;0;0,96;0,98;0,97;97
"947";6;"kd_tree";20;"euclidean";10;6;0,95;0,9;0,92;106
"951";0;"brute";20;"euclidean";10;0;0,97;0,98;0,97;97
"956";5;"brute";20;"euclidean";10;5;0,93;0,89;0,91;97
"957";6;"brute";20;"euclidean";10;6;0,94;0,9;0,92;106
"961";0;"auto";50;"euclidean";10;0;0,9;0,96;0,93;97
"967";6;"auto";50;"euclidean";10;6;0,94;0,88;0,91;106
