"batch_size";"epochs";"learning_rate";"rede";"base";"accuracy"
64;100;0,01;"lenet5";"original";"0.618453860282898"
128;100;0,01;"lenet5";"original";"0.6583541035652161"
256;100;0,01;"lenet5";"original";"0.6857855319976807"
64;300;0,01;"lenet5";"original";"0.7281795740127563"
128;300;0,01;"lenet5";"original";"0.780548632144928"
256;300;0,01;"lenet5";"original";"0.7955112457275391"
64;500;0,01;"lenet5";"original";"0.8079800605773926"
128;500;0,01;"lenet5";"original";"0.805486261844635"
256;500;0,01;"lenet5";"original";"0.8104737997055054"
64;100;0,1;"lenet5";"original";"0.805486261844635"
128;100;0,1;"lenet5";"original";"0.8079800605773926"
256;100;0,1;"lenet5";"original";"0.8079800605773926"
64;300;0,1;"lenet5";"original";"0.8079800605773926"
128;300;0,1;"lenet5";"original";"0.8079800605773926"
256;300;0,1;"lenet5";"original";"0.8079800605773926"
64;500;0,1;"lenet5";"original";"0.8079800605773926"
128;500;0,1;"lenet5";"original";"0.8079800605773926"
256;500;0,1;"lenet5";"original";"0.8079800605773926"
64;100;0,5;"lenet5";"original";"0.805486261844635"
128;100;0,5;"lenet5";"original";"0.8079800605773926"
256;100;0,5;"lenet5";"original";"0.805486261844635"
64;300;0,5;"lenet5";"original";"0.8079800605773926"
128;300;0,5;"lenet5";"original";"0.8079800605773926"
256;300;0,5;"lenet5";"original";"0.8079800605773926"
64;500;0,5;"lenet5";"original";"0.8079800605773926"
128;500;0,5;"lenet5";"original";"0.8079800605773926 "
256;500;0,5;"lenet5";"original";"0.8079800605773926"
64;100;0,01;"alexnet";"original";"0.8927680850028992"
128;100;0,01;"alexnet";"original";"0.9052368998527527 "
256;100;0,01;"alexnet";"original";"0.9002493619918823"
64;300;0,01;"alexnet";"original";"0.8902742862701416"
128;300;0,01;"alexnet";"original";"0.9027431607246399"
256;300;0,01;"alexnet";"original";"0.9027431607246399"
64;500;0,01;"alexnet";"original";"0.9027431607246399"
128;500;0,01;"alexnet";"original";"0.9002493619918823"
256;500;0,01;"alexnet";"original";"0.9052368998527527"
64;100;0,1;"alexnet";"original";"0.9351620674133301"
128;100;0,1;"alexnet";"original";"0.9376558661460876"
256;100;0,1;"alexnet";"original";"0.9476309418678284"
64;300;0,1;"alexnet";"original";"0.9326683282852173"
128;300;0,1;"alexnet";"original";"0.942643404006958"
256;300;0,1;"alexnet";"original";"0.9376558661460876"
64;500;0,1;"alexnet";"original";"0.9401496052742004"
128;500;0,1;"alexnet";"original";"0.9551122188568115"
256;500;0,1;"alexnet";"original";"0.9551122188568115"
64;100;0,5;"alexnet";"original";"0.8977556228637695"
128;100;0,5;"alexnet";"original";"0.9451371431350708"
256;100;0,5;"alexnet";"original";"0.9501246809959412"
64;300;0,5;"alexnet";"original";"0.9501246809959412"
128;300;0,5;"alexnet";"original";"0.9551122188568115"
256;300;0,5;"alexnet";"original";"0.9576059579849243"
64;500;0,5;"alexnet";"original";"0.942643404006958"
128;500;0,5;"alexnet";"original";"0.9551122188568115"
256;500;0,5;"alexnet";"original";"0.9551122188568115"
64;100;0,01;"xception";"original";"0.7780548334121704"
128;100;0,01;"xception";"original";"0.780548632144928"
256;100;0,01;"xception";"original";"0.779301732778549"
64;300;0,01;"xception";"original";
128;300;0,01;"xception";"original";
256;300;0,01;"xception";"original";
64;500;0,01;"xception";"original";
128;500;0,01;"xception";"original";
256;500;0,01;"xception";"original";
64;100;0,1;"xception";"original";"0.780548632144928"
128;100;0,1;"xception";"original";"0.7730673551559448"
256;100;0,1;"xception";"original";"0.7780548334121704"
64;300;0,1;"xception";"original";
128;300;0,1;"xception";"original";
256;300;0,1;"xception";"original";
64;500;0,1;"xception";"original";
128;500;0,1;"xception";"original";
256;500;0,1;"xception";"original";
64;100;0,5;"xception";"original";"0.7581047415733337"
128;100;0,5;"xception";"original";"0.7680798172950745"
256;100;0,5;"xception";"original";"0.7705735564231873"
64;300;0,5;"xception";"original";
128;300;0,5;"xception";"original";
256;300;0,5;"xception";"original";
64;500;0,5;"xception";"original";
128;500;0,5;"xception";"original";
256;500;0,5;"xception";"original";
64;100;0,01;"mobilenetv2";"original";"0.4039900302886963"
128;100;0,01;"mobilenetv2";"original";"0.40648379921913147"
256;100;0,01;"mobilenetv2";"original";"0.40648379921913147"
64;300;0,01;"mobilenetv2";"original";"0.40897756814956665"
128;300;0,01;"mobilenetv2";"original";"0.40897756814956665"
256;300;0,01;"mobilenetv2";"original";"0.40897756814956665"
64;500;0,01;"mobilenetv2";"original";"0.4039900302886963"
128;500;0,01;"mobilenetv2";"original";"0.3990024924278259"
256;500;0,01;"mobilenetv2";"original";"0.39650872349739075"
64;100;0,1;"mobilenetv2";"original";"0.40648379921913147"
128;100;0,1;"mobilenetv2";"original";"0.40897756814956665"
256;100;0,1;"mobilenetv2";"original";"0.4039900302886963"
64;300;0,1;"mobilenetv2";"original";"0.3990024924278259"
128;300;0,1;"mobilenetv2";"original";"0.3990024924278259"
256;300;0,1;"mobilenetv2";"original";"0.4039900302886963"
64;500;0,1;"mobilenetv2";"original";"0.39650872349739075"
128;500;0,1;"mobilenetv2";"original";"0.39401495456695557"
256;500;0,1;"mobilenetv2";"original";"0.39650872349739075"
64;100;0,5;"mobilenetv2";"original";"0.4014962613582611"
128;100;0,5;"mobilenetv2";"original";"0.4014962613582611"
256;100;0,5;"mobilenetv2";"original";"0.4039900302886963"
64;300;0,5;"mobilenetv2";"original";"0.3865336775779724"
128;300;0,5;"mobilenetv2";"original";"0.4039900302886963"
256;300;0,5;"mobilenetv2";"original";"0.39650872349739075"
64;500;0,5;"mobilenetv2";"original";"0.39650872349739075"
128;500;0,5;"mobilenetv2";"original";"0.3990024924278259"
256;500;0,5;"mobilenetv2";"original";"0.3915211856365204"
64;100;0,01;"lenet5";"aumentada";
128;100;0,01;"lenet5";"aumentada";
256;100;0,01;"lenet5";"aumentada";
64;300;0,01;"lenet5";"aumentada";
128;300;0,01;"lenet5";"aumentada";
256;300;0,01;"lenet5";"aumentada";
64;500;0,01;"lenet5";"aumentada";
128;500;0,01;"lenet5";"aumentada";
256;500;0,01;"lenet5";"aumentada";
64;100;0,1;"lenet5";"aumentada";
128;100;0,1;"lenet5";"aumentada";
256;100;0,1;"lenet5";"aumentada";
64;300;0,1;"lenet5";"aumentada";
128;300;0,1;"lenet5";"aumentada";
256;300;0,1;"lenet5";"aumentada";
64;500;0,1;"lenet5";"aumentada";
128;500;0,1;"lenet5";"aumentada";
256;500;0,1;"lenet5";"aumentada";
64;100;0,5;"lenet5";"aumentada";
128;100;0,5;"lenet5";"aumentada";
256;100;0,5;"lenet5";"aumentada";
64;300;0,5;"lenet5";"aumentada";
128;300;0,5;"lenet5";"aumentada";
256;300;0,5;"lenet5";"aumentada";
64;500;0,5;"lenet5";"aumentada";
128;500;0,5;"lenet5";"aumentada";
256;500;0,5;"lenet5";"aumentada";
64;100;0,01;"alexnet";"aumentada";
128;100;0,01;"alexnet";"aumentada";
256;100;0,01;"alexnet";"aumentada";
64;300;0,01;"alexnet";"aumentada";
128;300;0,01;"alexnet";"aumentada";
256;300;0,01;"alexnet";"aumentada";
64;500;0,01;"alexnet";"aumentada";
128;500;0,01;"alexnet";"aumentada";
256;500;0,01;"alexnet";"aumentada";
64;100;0,1;"alexnet";"aumentada";
128;100;0,1;"alexnet";"aumentada";
256;100;0,1;"alexnet";"aumentada";
64;300;0,1;"alexnet";"aumentada";
128;300;0,1;"alexnet";"aumentada";
256;300;0,1;"alexnet";"aumentada";
64;500;0,1;"alexnet";"aumentada";
128;500;0,1;"alexnet";"aumentada";
256;500;0,1;"alexnet";"aumentada";
64;100;0,5;"alexnet";"aumentada";
128;100;0,5;"alexnet";"aumentada";
256;100;0,5;"alexnet";"aumentada";
64;300;0,5;"alexnet";"aumentada";
128;300;0,5;"alexnet";"aumentada";
256;300;0,5;"alexnet";"aumentada";
64;500;0,5;"alexnet";"aumentada";
128;500;0,5;"alexnet";"aumentada";
256;500;0,5;"alexnet";"aumentada";
64;100;0,01;"xception";"aumentada";
128;100;0,01;"xception";"aumentada";
256;100;0,01;"xception";"aumentada";
64;300;0,01;"xception";"aumentada";
128;300;0,01;"xception";"aumentada";
256;300;0,01;"xception";"aumentada";
64;500;0,01;"xception";"aumentada";
128;500;0,01;"xception";"aumentada";
256;500;0,01;"xception";"aumentada";
64;100;0,1;"xception";"aumentada";
128;100;0,1;"xception";"aumentada";
256;100;0,1;"xception";"aumentada";
64;300;0,1;"xception";"aumentada";
128;300;0,1;"xception";"aumentada";
256;300;0,1;"xception";"aumentada";
64;500;0,1;"xception";"aumentada";
128;500;0,1;"xception";"aumentada";
256;500;0,1;"xception";"aumentada";
64;100;0,5;"xception";"aumentada";
128;100;0,5;"xception";"aumentada";
256;100;0,5;"xception";"aumentada";
64;300;0,5;"xception";"aumentada";
128;300;0,5;"xception";"aumentada";
256;300;0,5;"xception";"aumentada";
64;500;0,5;"xception";"aumentada";
128;500;0,5;"xception";"aumentada";
256;500;0,5;"xception";"aumentada";
64;100;0,01;"mobilenetv2";"aumentada";
128;100;0,01;"mobilenetv2";"aumentada";
256;100;0,01;"mobilenetv2";"aumentada";
64;300;0,01;"mobilenetv2";"aumentada";
128;300;0,01;"mobilenetv2";"aumentada";
